Painting Segment 1:
Mv to (0, 0)
Dr fr (13, 2) to (13, 3)
Dr fr (13, 3) to (13, 4)
Dr fr (13, 4) to (13, 5)
Dr fr (13, 5) to (13, 6)
Dr fr (13, 6) to (13, 7)
Dr fr (13, 7) to (13, 8)
Dr fr (13, 8) to (13, 9)
Dr fr (13, 9) to (13, 10)
Dr fr (13, 10) to (13, 11)
Dr fr (13, 11) to (13, 12)
Dr fr (13, 12) to (14, 11)
Dr fr (14, 11) to (14, 10)
Dr fr (14, 10) to (14, 9)
Dr fr (14, 9) to (14, 8)
Dr fr (14, 8) to (14, 7)
Dr fr (14, 7) to (14, 6)
Dr fr (14, 6) to (14, 5)
Dr fr (14, 5) to (14, 4)
Dr fr (14, 4) to (14, 3)
Dr fr (14, 3) to (14, 2)
Dr fr (14, 2) to (14, 1)
Dr fr (14, 1) to (14, 0)
Dr fr (14, 0) to (15, 0)
Dr fr (15, 0) to (15, 1)
Dr fr (15, 1) to (15, 2)
Dr fr (15, 2) to (15, 3)
Dr fr (15, 3) to (15, 4)
Dr fr (15, 4) to (15, 5)
Dr fr (15, 5) to (15, 6)
Dr fr (15, 6) to (15, 7)
Dr fr (15, 7) to (15, 8)
Dr fr (15, 8) to (15, 9)
Dr fr (15, 9) to (15, 10)
Dr fr (15, 10) to (16, 9)
Dr fr (16, 9) to (16, 8)
Dr fr (16, 8) to (16, 7)
Dr fr (16, 7) to (16, 6)
Dr fr (16, 6) to (16, 5)
Dr fr (16, 5) to (16, 4)
Dr fr (16, 4) to (16, 3)
Dr fr (16, 3) to (16, 2)
Dr fr (16, 2) to (16, 1)
Dr fr (16, 1) to (16, 0)
Dr fr (16, 0) to (17, 0)
Dr fr (17, 0) to (17, 1)
Dr fr (17, 1) to (17, 2)
Dr fr (17, 2) to (17, 3)
Dr fr (17, 3) to (17, 4)
Dr fr (17, 4) to (17, 5)
Dr fr (17, 5) to (17, 6)
Dr fr (17, 6) to (17, 7)
Dr fr (17, 7) to (17, 8)
Dr fr (17, 8) to (18, 7)
Dr fr (18, 7) to (18, 6)
Dr fr (18, 6) to (18, 5)
Dr fr (18, 5) to (18, 4)
Dr fr (18, 4) to (18, 3)
Dr fr (18, 3) to (18, 2)
Dr fr (18, 2) to (18, 1)
Dr fr (18, 1) to (18, 0)
Dr fr (18, 0) to (19, 0)
Dr fr (19, 0) to (19, 1)
Dr fr (19, 1) to (19, 2)
Dr fr (19, 2) to (19, 3)
Dr fr (19, 3) to (19, 4)
Dr fr (19, 4) to (19, 5)
Dr fr (19, 5) to (19, 6)
Dr fr (19, 6) to (19, 7)
Dr fr (19, 7) to (18, 8)
Mv to (19, 7)
Dr fr (19, 7) to (20, 6)
Dr fr (20, 6) to (20, 5)
Dr fr (20, 5) to (20, 4)
Dr fr (20, 4) to (20, 3)
Dr fr (20, 3) to (20, 2)
Dr fr (20, 2) to (20, 1)
Dr fr (20, 1) to (20, 0)
Dr fr (20, 0) to (21, 0)
Dr fr (21, 0) to (21, 1)
Dr fr (21, 1) to (21, 2)
Dr fr (21, 2) to (21, 3)
Dr fr (21, 3) to (21, 4)
Dr fr (21, 4) to (21, 5)
Dr fr (21, 5) to (21, 6)
Dr fr (21, 6) to (22, 5)
Dr fr (22, 5) to (22, 4)
Dr fr (22, 4) to (22, 3)
Dr fr (22, 3) to (22, 2)
Dr fr (22, 2) to (22, 1)
Dr fr (22, 1) to (22, 0)
Dr fr (22, 0) to (23, 0)
Dr fr (23, 0) to (23, 1)
Dr fr (23, 1) to (23, 2)
Dr fr (23, 2) to (23, 3)
Dr fr (23, 3) to (23, 4)
Dr fr (23, 4) to (23, 5)
Dr fr (23, 5) to (24, 4)
Dr fr (24, 4) to (24, 3)
Dr fr (24, 3) to (24, 2)
Dr fr (24, 2) to (24, 1)
Dr fr (24, 1) to (24, 0)
Dr fr (24, 0) to (25, 0)
Dr fr (25, 0) to (25, 1)
Dr fr (25, 1) to (25, 2)
Dr fr (25, 2) to (25, 3)
Dr fr (25, 3) to (25, 4)
Dr fr (25, 4) to (26, 3)
Dr fr (26, 3) to (26, 2)
Dr fr (26, 2) to (26, 1)
Dr fr (26, 1) to (26, 0)
Dr fr (26, 0) to (27, 0)
Dr fr (27, 0) to (27, 1)
Dr fr (27, 1) to (27, 2)
Dr fr (27, 2) to (27, 3)
Dr fr (27, 3) to (28, 2)
Dr fr (28, 2) to (28, 1)
Dr fr (28, 1) to (28, 0)
Dr fr (28, 0) to (29, 0)
Dr fr (29, 0) to (29, 1)
Dr fr (29, 1) to (29, 2)
Dr fr (29, 2) to (28, 3)
Mv to (29, 2)
Dr fr (29, 2) to (30, 1)
Dr fr (30, 1) to (30, 0)
Dr fr (30, 0) to (31, 0)
Dr fr (31, 0) to (31, 1)
Dr fr (31, 1) to (30, 2)
Dr fr (30, 2) to (31, 2)
Dr fr (31, 2) to (32, 1)
Dr fr (32, 1) to (32, 0)
Dr fr (32, 0) to (33, 0)
Dr fr (33, 0) to (33, 1)
Dr fr (33, 1) to (32, 2)
Mv to (33, 1)
Dr fr (33, 1) to (34, 0)
Dr fr (34, 0) to (34, 1)
Dr fr (34, 1) to (35, 0)
Dr fr (35, 0) to (35, 1)
Dr fr (35, 1) to (36, 0)
Dr fr (36, 0) to (36, 1)
Dr fr (36, 1) to (37, 0)
Dr fr (37, 0) to (37, 1)
Dr fr (37, 1) to (38, 0)
Dr fr (38, 0) to (38, 1)
Dr fr (38, 1) to (39, 0)
Dr fr (39, 0) to (39, 1)
Dr fr (39, 1) to (40, 0)
Dr fr (40, 0) to (40, 1)
Dr fr (40, 1) to (41, 0)
Dr fr (41, 0) to (42, 0)
Dr fr (42, 0) to (42, 1)
Dr fr (42, 1) to (43, 0)
Dr fr (43, 0) to (43, 1)
Dr fr (43, 1) to (44, 0)
Dr fr (44, 0) to (44, 1)
Dr fr (44, 1) to (45, 0)
Dr fr (45, 0) to (45, 1)
Dr fr (45, 1) to (46, 0)
Dr fr (46, 0) to (46, 1)
Dr fr (46, 1) to (47, 0)
Dr fr (47, 0) to (47, 1)
Dr fr (47, 1) to (48, 0)
Dr fr (48, 0) to (48, 1)
Dr fr (48, 1) to (49, 0)
Dr fr (49, 0) to (49, 1)
Dr fr (49, 1) to (50, 0)
Dr fr (50, 0) to (50, 1)
Dr fr (50, 1) to (50, 2)
Dr fr (50, 2) to (51, 1)
Dr fr (51, 1) to (51, 0)
Dr fr (51, 0) to (52, 0)
Dr fr (52, 0) to (52, 1)
Dr fr (52, 1) to (51, 2)
Dr fr (51, 2) to (52, 2)
Dr fr (52, 2) to (53, 1)
Dr fr (53, 1) to (53, 0)
Dr fr (53, 0) to (54, 0)
Dr fr (54, 0) to (54, 1)
Dr fr (54, 1) to (53, 2)
Dr fr (53, 2) to (54, 2)
Dr fr (54, 2) to (54, 3)
Dr fr (54, 3) to (55, 2)
Dr fr (55, 2) to (55, 1)
Dr fr (55, 1) to (55, 0)
Dr fr (55, 0) to (56, 0)
Dr fr (56, 0) to (56, 1)
Dr fr (56, 1) to (56, 2)
Dr fr (56, 2) to (55, 3)
Dr fr (55, 3) to (56, 3)
Dr fr (56, 3) to (57, 2)
Dr fr (57, 2) to (57, 1)
Dr fr (57, 1) to (57, 0)
Dr fr (57, 0) to (58, 0)
Dr fr (58, 0) to (58, 1)
Dr fr (58, 1) to (58, 2)
Dr fr (58, 2) to (57, 3)
Dr fr (57, 3) to (57, 4)
Dr fr (57, 4) to (58, 3)
Dr fr (58, 3) to (58, 4)
Dr fr (58, 4) to (59, 3)
Dr fr (59, 3) to (59, 2)
Dr fr (59, 2) to (59, 1)
Dr fr (59, 1) to (59, 0)
Dr fr (59, 0) to (60, 0)
Dr fr (60, 0) to (60, 1)
Dr fr (60, 1) to (60, 2)
Dr fr (60, 2) to (60, 3)
Dr fr (60, 3) to (59, 4)
Dr fr (59, 4) to (59, 5)
Dr fr (59, 5) to (60, 4)
Dr fr (60, 4) to (60, 5)
Dr fr (60, 5) to (61, 4)
Dr fr (61, 4) to (61, 3)
Dr fr (61, 3) to (61, 2)
Dr fr (61, 2) to (61, 1)
Dr fr (61, 1) to (61, 0)
Dr fr (61, 0) to (62, 0)
Dr fr (62, 0) to (62, 1)
Dr fr (62, 1) to (62, 2)
Dr fr (62, 2) to (62, 3)
Dr fr (62, 3) to (62, 4)
Dr fr (62, 4) to (61, 5)
Dr fr (61, 5) to (61, 6)
Dr fr (61, 6) to (62, 5)
Dr fr (62, 5) to (62, 6)
Dr fr (62, 6) to (63, 5)
Dr fr (63, 5) to (63, 4)
Dr fr (63, 4) to (63, 3)
Dr fr (63, 3) to (63, 2)
Dr fr (63, 2) to (63, 1)
Dr fr (63, 1) to (63, 0)
Dr fr (63, 0) to (64, 0)
Dr fr (64, 0) to (64, 1)
Dr fr (64, 1) to (64, 2)
Dr fr (64, 2) to (64, 3)
Dr fr (64, 3) to (64, 4)
Dr fr (64, 4) to (64, 5)
Dr fr (64, 5) to (63, 6)
Dr fr (63, 6) to (63, 7)
Dr fr (63, 7) to (64, 6)
Dr fr (64, 6) to (64, 7)
Dr fr (64, 7) to (64, 8)
Dr fr (64, 8) to (65, 7)
Dr fr (65, 7) to (65, 6)
Dr fr (65, 6) to (65, 5)
Dr fr (65, 5) to (65, 4)
Dr fr (65, 4) to (65, 3)
Dr fr (65, 3) to (65, 2)
Dr fr (65, 2) to (65, 1)
Dr fr (65, 1) to (65, 0)
Dr fr (65, 0) to (66, 0)
Dr fr (66, 0) to (66, 1)
Dr fr (66, 1) to (66, 2)
Dr fr (66, 2) to (66, 3)
Dr fr (66, 3) to (66, 4)
Dr fr (66, 4) to (66, 5)
Dr fr (66, 5) to (66, 6)
Dr fr (66, 6) to (66, 7)
Dr fr (66, 7) to (65, 8)
Dr fr (65, 8) to (66, 8)
Dr fr (66, 8) to (66, 9)
Dr fr (66, 9) to (67, 10)
Dr fr (67, 10) to (67, 9)
Dr fr (67, 9) to (67, 8)
Dr fr (67, 8) to (67, 7)
Dr fr (67, 7) to (67, 6)
Dr fr (67, 6) to (67, 5)
Dr fr (67, 5) to (67, 4)
Dr fr (67, 4) to (67, 3)
Dr fr (67, 3) to (67, 2)
Dr fr (67, 2) to (67, 1)
Dr fr (67, 1) to (67, 0)
Dr fr (67, 0) to (68, 0)
Dr fr (68, 0) to (68, 1)
Dr fr (68, 1) to (68, 2)
Dr fr (68, 2) to (68, 3)
Dr fr (68, 3) to (68, 4)
Dr fr (68, 4) to (68, 5)
Dr fr (68, 5) to (68, 6)
Dr fr (68, 6) to (68, 7)
Dr fr (68, 7) to (68, 8)
Dr fr (68, 8) to (68, 9)
Dr fr (68, 9) to (68, 10)
Dr fr (68, 10) to (68, 11)
Dr fr (68, 11) to (69, 10)
Dr fr (69, 10) to (69, 11)
Dr fr (69, 11) to (69, 12)
Dr fr (69, 12) to (70, 11)
Dr fr (70, 11) to (70, 10)
Dr fr (70, 10) to (69, 9)
Dr fr (69, 9) to (69, 8)
Dr fr (69, 8) to (69, 7)
Dr fr (69, 7) to (69, 6)
Dr fr (69, 6) to (69, 5)
Dr fr (69, 5) to (69, 4)
Dr fr (69, 4) to (69, 3)
Dr fr (69, 3) to (69, 2)
Dr fr (69, 2) to (69, 1)
Dr fr (69, 1) to (69, 0)
Dr fr (69, 0) to (70, 0)
Dr fr (70, 0) to (70, 1)
Dr fr (70, 1) to (70, 2)
Dr fr (70, 2) to (70, 3)
Dr fr (70, 3) to (70, 4)
Dr fr (70, 4) to (70, 5)
Dr fr (70, 5) to (70, 6)
Dr fr (70, 6) to (70, 7)
Dr fr (70, 7) to (70, 8)
Dr fr (70, 8) to (70, 9)
Dr fr (70, 9) to (71, 10)
Dr fr (71, 10) to (71, 11)
Dr fr (71, 11) to (70, 12)
Dr fr (70, 12) to (70, 13)
Dr fr (70, 13) to (71, 12)
Dr fr (71, 12) to (71, 13)
Dr fr (71, 13) to (71, 14)
Dr fr (71, 14) to (72, 13)
Dr fr (72, 13) to (72, 12)
Dr fr (72, 12) to (72, 11)
Dr fr (72, 11) to (72, 10)
Dr fr (72, 10) to (71, 9)
Dr fr (71, 9) to (71, 8)
Dr fr (71, 8) to (71, 7)
Dr fr (71, 7) to (71, 6)
Dr fr (71, 6) to (71, 5)
Dr fr (71, 5) to (71, 4)
Dr fr (71, 4) to (71, 3)
Dr fr (71, 3) to (71, 2)
Dr fr (71, 2) to (71, 1)
Dr fr (71, 1) to (71, 0)
Dr fr (71, 0) to (72, 0)
Dr fr (72, 0) to (72, 1)
Dr fr (72, 1) to (72, 2)
Dr fr (72, 2) to (72, 3)
Dr fr (72, 3) to (72, 4)
Dr fr (72, 4) to (72, 5)
Dr fr (72, 5) to (72, 6)
Dr fr (72, 6) to (72, 7)
Dr fr (72, 7) to (72, 8)
Dr fr (72, 8) to (72, 9)
Dr fr (72, 9) to (73, 10)
Dr fr (73, 10) to (73, 11)
Dr fr (73, 11) to (73, 12)
Dr fr (73, 12) to (73, 13)
Dr fr (73, 13) to (72, 14)
Dr fr (72, 14) to (72, 15)
Dr fr (72, 15) to (73, 14)
Dr fr (73, 14) to (73, 15)
Dr fr (73, 15) to (73, 16)
Dr fr (73, 16) to (74, 15)
Dr fr (74, 15) to (74, 14)
Dr fr (74, 14) to (74, 13)
Dr fr (74, 13) to (74, 12)
Dr fr (74, 12) to (74, 11)
Dr fr (74, 11) to (74, 10)
Dr fr (74, 10) to (73, 9)
Dr fr (73, 9) to (73, 8)
Dr fr (73, 8) to (73, 7)
Dr fr (73, 7) to (73, 6)
Dr fr (73, 6) to (73, 5)
Dr fr (73, 5) to (73, 4)
Dr fr (73, 4) to (73, 3)
Dr fr (73, 3) to (73, 2)
Dr fr (73, 2) to (73, 1)
Dr fr (73, 1) to (73, 0)
Dr fr (73, 0) to (74, 0)
Dr fr (74, 0) to (74, 1)
Dr fr (74, 1) to (74, 2)
Dr fr (74, 2) to (74, 3)
Dr fr (74, 3) to (74, 4)
Dr fr (74, 4) to (74, 5)
Dr fr (74, 5) to (74, 6)
Dr fr (74, 6) to (74, 7)
Dr fr (74, 7) to (74, 8)
Dr fr (74, 8) to (74, 9)
Dr fr (74, 9) to (75, 10)
Dr fr (75, 10) to (75, 11)
Dr fr (75, 11) to (75, 12)
Dr fr (75, 12) to (75, 13)
Dr fr (75, 13) to (75, 14)
Dr fr (75, 14) to (75, 15)
Dr fr (75, 15) to (74, 16)
Dr fr (74, 16) to (74, 17)
Dr fr (74, 17) to (74, 18)
Dr fr (74, 18) to (75, 17)
Dr fr (75, 17) to (75, 16)
Dr fr (75, 16) to (76, 15)
Dr fr (76, 15) to (76, 14)
Dr fr (76, 14) to (76, 13)
Dr fr (76, 13) to (76, 12)
Dr fr (76, 12) to (76, 11)
Dr fr (76, 11) to (76, 10)
Dr fr (76, 10) to (75, 9)
Dr fr (75, 9) to (75, 8)
Dr fr (75, 8) to (75, 7)
Dr fr (75, 7) to (75, 6)
Dr fr (75, 6) to (75, 5)
Dr fr (75, 5) to (75, 4)
Dr fr (75, 4) to (75, 3)
Dr fr (75, 3) to (75, 2)
Dr fr (75, 2) to (75, 1)
Dr fr (75, 1) to (75, 0)
Dr fr (75, 0) to (76, 0)
Dr fr (76, 0) to (76, 1)
Dr fr (76, 1) to (76, 2)
Dr fr (76, 2) to (76, 3)
Dr fr (76, 3) to (76, 4)
Dr fr (76, 4) to (76, 5)
Dr fr (76, 5) to (76, 6)
Dr fr (76, 6) to (76, 7)
Dr fr (76, 7) to (76, 8)
Dr fr (76, 8) to (76, 9)
Dr fr (76, 9) to (77, 10)
Dr fr (77, 10) to (77, 11)
Dr fr (77, 11) to (77, 12)
Dr fr (77, 12) to (77, 13)
Dr fr (77, 13) to (77, 14)
Dr fr (77, 14) to (77, 15)
Dr fr (77, 15) to (76, 16)
Dr fr (76, 16) to (76, 17)
Dr fr (76, 17) to (75, 18)
Dr fr (75, 18) to (75, 19)
Dr fr (75, 19) to (76, 18)
Dr fr (76, 18) to (76, 19)
Dr fr (76, 19) to (76, 20)
Dr fr (76, 20) to (76, 21)
Dr fr (76, 21) to (77, 20)
Dr fr (77, 20) to (77, 19)
Dr fr (77, 19) to (77, 18)
Dr fr (77, 18) to (77, 17)
Dr fr (77, 17) to (77, 16)
Dr fr (77, 16) to (78, 15)
Dr fr (78, 15) to (78, 14)
Dr fr (78, 14) to (78, 13)
Dr fr (78, 13) to (78, 12)
Dr fr (78, 12) to (78, 11)
Dr fr (78, 11) to (78, 10)
Dr fr (78, 10) to (77, 9)
Dr fr (77, 9) to (77, 8)
Dr fr (77, 8) to (77, 7)
Dr fr (77, 7) to (77, 6)
Dr fr (77, 6) to (77, 5)
Dr fr (77, 5) to (77, 4)
Dr fr (77, 4) to (77, 3)
Dr fr (77, 3) to (77, 2)
Dr fr (77, 2) to (77, 1)
Dr fr (77, 1) to (77, 0)
Dr fr (77, 0) to (78, 0)
Dr fr (78, 0) to (78, 1)
Dr fr (78, 1) to (78, 2)
Dr fr (78, 2) to (78, 3)
Dr fr (78, 3) to (78, 4)
Dr fr (78, 4) to (78, 5)
Dr fr (78, 5) to (78, 6)
Dr fr (78, 6) to (78, 7)
Dr fr (78, 7) to (78, 8)
Dr fr (78, 8) to (78, 9)
Dr fr (78, 9) to (79, 10)
Dr fr (79, 10) to (79, 11)
Dr fr (79, 11) to (79, 12)
Dr fr (79, 12) to (79, 13)
Dr fr (79, 13) to (79, 14)
Dr fr (79, 14) to (79, 15)
Dr fr (79, 15) to (78, 16)
Dr fr (78, 16) to (78, 17)
Dr fr (78, 17) to (78, 18)
Dr fr (78, 18) to (78, 19)
Dr fr (78, 19) to (78, 20)
Dr fr (78, 20) to (77, 21)
Dr fr (77, 21) to (77, 22)
Dr fr (77, 22) to (77, 23)
Dr fr (77, 23) to (78, 22)
Dr fr (78, 22) to (78, 21)
Dr fr (78, 21) to (79, 20)
Dr fr (79, 20) to (79, 19)
Dr fr (79, 19) to (79, 18)
Dr fr (79, 18) to (79, 17)
Dr fr (79, 17) to (79, 16)
Dr fr (79, 16) to (80, 15)
Dr fr (80, 15) to (80, 14)
Dr fr (80, 14) to (80, 13)
Dr fr (80, 13) to (80, 12)
Dr fr (80, 12) to (80, 11)
Dr fr (80, 11) to (80, 10)
Dr fr (80, 10) to (79, 9)
Dr fr (79, 9) to (79, 8)
Dr fr (79, 8) to (79, 7)
Dr fr (79, 7) to (79, 6)
Dr fr (79, 6) to (79, 5)
Dr fr (79, 5) to (79, 4)
Dr fr (79, 4) to (79, 3)
Dr fr (79, 3) to (79, 2)
Dr fr (79, 2) to (79, 1)
Dr fr (79, 1) to (79, 0)
Dr fr (79, 0) to (80, 0)
Dr fr (80, 0) to (80, 1)
Dr fr (80, 1) to (80, 2)
Dr fr (80, 2) to (80, 3)
Dr fr (80, 3) to (80, 4)
Dr fr (80, 4) to (80, 5)
Dr fr (80, 5) to (80, 6)
Dr fr (80, 6) to (80, 7)
Dr fr (80, 7) to (80, 8)
Dr fr (80, 8) to (80, 9)
Dr fr (80, 9) to (81, 10)
Dr fr (81, 10) to (81, 11)
Dr fr (81, 11) to (81, 12)
Dr fr (81, 12) to (81, 13)
Dr fr (81, 13) to (81, 14)
Dr fr (81, 14) to (81, 15)
Dr fr (81, 15) to (80, 16)
Dr fr (80, 16) to (80, 17)
Dr fr (80, 17) to (80, 18)
Dr fr (80, 18) to (80, 19)
Dr fr (80, 19) to (80, 20)
Dr fr (80, 20) to (79, 21)
Dr fr (79, 21) to (79, 22)
Dr fr (79, 22) to (78, 23)
Dr fr (78, 23) to (78, 24)
Dr fr (78, 24) to (78, 25)
Dr fr (78, 25) to (79, 24)
Dr fr (79, 24) to (79, 23)
Dr fr (79, 23) to (80, 22)
Dr fr (80, 22) to (80, 21)
Dr fr (80, 21) to (81, 20)
Dr fr (81, 20) to (81, 19)
Dr fr (81, 19) to (81, 18)
Dr fr (81, 18) to (81, 17)
Dr fr (81, 17) to (81, 16)
Mv to (81, 20)
Dr fr (81, 20) to (81, 21)
Dr fr (81, 21) to (81, 22)
Dr fr (81, 22) to (80, 23)
Dr fr (80, 23) to (80, 24)
Dr fr (80, 24) to (79, 25)
Dr fr (79, 25) to (79, 26)
Dr fr (79, 26) to (79, 27)
Dr fr (79, 27) to (79, 28)
Dr fr (79, 28) to (80, 27)
Dr fr (80, 27) to (80, 26)
Dr fr (80, 26) to (80, 25)
Dr fr (80, 25) to (81, 24)
Dr fr (81, 24) to (81, 23)
Mv to (81, 24)
Dr fr (81, 24) to (81, 25)
Dr fr (81, 25) to (81, 26)
Dr fr (81, 26) to (81, 27)
Dr fr (81, 27) to (80, 28)
Dr fr (80, 28) to (80, 29)
Dr fr (80, 29) to (80, 30)
Dr fr (80, 30) to (80, 31)
Dr fr (80, 31) to (80, 32)
Dr fr (80, 32) to (81, 31)
Dr fr (81, 31) to (81, 30)
Dr fr (81, 30) to (81, 29)
Dr fr (81, 29) to (81, 28)
Mv to (81, 31)
Dr fr (81, 31) to (81, 32)
Dr fr (81, 32) to (81, 33)
Dr fr (81, 33) to (81, 34)
Dr fr (81, 34) to (81, 35)
Dr fr (81, 35) to (81, 36)
Dr fr (81, 36) to (81, 37)
Dr fr (81, 37) to (81, 38)
Dr fr (81, 38) to (81, 39)
Dr fr (81, 39) to (81, 40)
Mv to (81, 10)
Dr fr (81, 10) to (81, 9)
Dr fr (81, 9) to (81, 8)
Dr fr (81, 8) to (81, 7)
Dr fr (81, 7) to (81, 6)
Dr fr (81, 6) to (81, 5)
Dr fr (81, 5) to (81, 4)
Dr fr (81, 4) to (81, 3)
Dr fr (81, 3) to (81, 2)
Dr fr (81, 2) to (81, 1)
Dr fr (81, 1) to (81, 0)
Mv to (10, 0)
Dr fr (10, 0) to (9, 0)
Dr fr (9, 0) to (9, 1)
Dr fr (9, 1) to (9, 2)
Dr fr (9, 2) to (9, 3)
Dr fr (9, 3) to (9, 4)
Dr fr (9, 4) to (9, 5)
Dr fr (9, 5) to (9, 6)
Dr fr (9, 6) to (9, 7)
Dr fr (9, 7) to (9, 8)
Dr fr (9, 8) to (9, 9)
Dr fr (9, 9) to (9, 10)
Dr fr (9, 10) to (9, 11)
Dr fr (9, 11) to (9, 12)
Dr fr (9, 12) to (9, 13)
Dr fr (9, 13) to (9, 14)
Dr fr (9, 14) to (9, 15)
Painting Segment 2:
Mv to (42, 81)
Dr fr (42, 81) to (43, 81)
Dr fr (43, 81) to (44, 81)
Dr fr (44, 81) to (45, 81)
Dr fr (45, 81) to (46, 81)
Dr fr (46, 81) to (47, 81)
Dr fr (47, 81) to (48, 81)
Dr fr (48, 81) to (49, 81)
Dr fr (49, 81) to (50, 80)
Dr fr (50, 80) to (50, 81)
Dr fr (50, 81) to (51, 80)
Dr fr (51, 80) to (51, 81)
Dr fr (51, 81) to (52, 80)
Dr fr (52, 80) to (52, 81)
Dr fr (52, 81) to (53, 80)
Dr fr (53, 80) to (53, 81)
Dr fr (53, 81) to (54, 80)
Dr fr (54, 80) to (54, 79)
Dr fr (54, 79) to (55, 79)
Dr fr (55, 79) to (55, 80)
Dr fr (55, 80) to (54, 81)
Dr fr (54, 81) to (55, 81)
Dr fr (55, 81) to (56, 80)
Dr fr (56, 80) to (56, 79)
Dr fr (56, 79) to (57, 78)
Dr fr (57, 78) to (57, 79)
Dr fr (57, 79) to (57, 80)
Dr fr (57, 80) to (56, 81)
Dr fr (56, 81) to (57, 81)
Dr fr (57, 81) to (58, 80)
Dr fr (58, 80) to (58, 79)
Dr fr (58, 79) to (58, 78)
Dr fr (58, 78) to (59, 77)
Dr fr (59, 77) to (59, 78)
Dr fr (59, 78) to (59, 79)
Dr fr (59, 79) to (59, 80)
Dr fr (59, 80) to (58, 81)
Dr fr (58, 81) to (59, 81)
Dr fr (59, 81) to (60, 80)
Dr fr (60, 80) to (60, 79)
Dr fr (60, 79) to (60, 78)
Dr fr (60, 78) to (60, 77)
Dr fr (60, 77) to (61, 76)
Dr fr (61, 76) to (61, 77)
Dr fr (61, 77) to (61, 78)
Dr fr (61, 78) to (61, 79)
Dr fr (61, 79) to (61, 80)
Dr fr (61, 80) to (60, 81)
Dr fr (60, 81) to (61, 81)
Dr fr (61, 81) to (62, 80)
Dr fr (62, 80) to (62, 79)
Dr fr (62, 79) to (62, 78)
Dr fr (62, 78) to (62, 77)
Dr fr (62, 77) to (62, 76)
Dr fr (62, 76) to (63, 75)
Dr fr (63, 75) to (63, 76)
Dr fr (63, 76) to (63, 77)
Dr fr (63, 77) to (63, 78)
Dr fr (63, 78) to (63, 79)
Dr fr (63, 79) to (63, 80)
Dr fr (63, 80) to (62, 81)
Dr fr (62, 81) to (63, 81)
Dr fr (63, 81) to (64, 80)
Dr fr (64, 80) to (64, 79)
Dr fr (64, 79) to (64, 78)
Dr fr (64, 78) to (64, 77)
Dr fr (64, 77) to (64, 76)
Dr fr (64, 76) to (64, 75)
Dr fr (64, 75) to (64, 74)
Dr fr (64, 74) to (65, 74)
Dr fr (65, 74) to (65, 75)
Dr fr (65, 75) to (65, 76)
Dr fr (65, 76) to (65, 77)
Dr fr (65, 77) to (65, 78)
Dr fr (65, 78) to (65, 79)
Dr fr (65, 79) to (65, 80)
Dr fr (65, 80) to (64, 81)
Dr fr (64, 81) to (65, 81)
Dr fr (65, 81) to (66, 80)
Dr fr (66, 80) to (66, 79)
Dr fr (66, 79) to (66, 78)
Dr fr (66, 78) to (66, 77)
Dr fr (66, 77) to (66, 76)
Dr fr (66, 76) to (66, 75)
Dr fr (66, 75) to (66, 74)
Dr fr (66, 74) to (66, 73)
Dr fr (66, 73) to (67, 72)
Dr fr (67, 72) to (67, 73)
Dr fr (67, 73) to (67, 74)
Dr fr (67, 74) to (67, 75)
Dr fr (67, 75) to (67, 76)
Dr fr (67, 76) to (67, 77)
Dr fr (67, 77) to (67, 78)
Dr fr (67, 78) to (67, 79)
Dr fr (67, 79) to (67, 80)
Dr fr (67, 80) to (66, 81)
Dr fr (66, 81) to (67, 81)
Dr fr (67, 81) to (68, 80)
Dr fr (68, 80) to (68, 79)
Dr fr (68, 79) to (68, 78)
Dr fr (68, 78) to (68, 77)
Dr fr (68, 77) to (68, 76)
Dr fr (68, 76) to (68, 75)
Dr fr (68, 75) to (68, 74)
Dr fr (68, 74) to (68, 73)
Dr fr (68, 73) to (68, 72)
Dr fr (68, 72) to (68, 71)
Dr fr (68, 71) to (69, 70)
Dr fr (69, 70) to (69, 71)
Dr fr (69, 71) to (69, 72)
Dr fr (69, 72) to (69, 73)
Dr fr (69, 73) to (69, 74)
Dr fr (69, 74) to (69, 75)
Dr fr (69, 75) to (69, 76)
Dr fr (69, 76) to (69, 77)
Dr fr (69, 77) to (69, 78)
Dr fr (69, 78) to (69, 79)
Dr fr (69, 79) to (69, 80)
Dr fr (69, 80) to (68, 81)
Dr fr (68, 81) to (69, 81)
Dr fr (69, 81) to (70, 80)
Dr fr (70, 80) to (70, 79)
Dr fr (70, 79) to (70, 78)
Dr fr (70, 78) to (70, 77)
Dr fr (70, 77) to (70, 76)
Dr fr (70, 76) to (70, 75)
Dr fr (70, 75) to (70, 74)
Dr fr (70, 74) to (70, 73)
Dr fr (70, 73) to (70, 72)
Dr fr (70, 72) to (70, 71)
Dr fr (70, 71) to (70, 70)
Dr fr (70, 70) to (70, 69)
Dr fr (70, 69) to (71, 68)
Dr fr (71, 68) to (71, 69)
Dr fr (71, 69) to (71, 70)
Dr fr (71, 70) to (71, 71)
Dr fr (71, 71) to (71, 72)
Dr fr (71, 72) to (71, 73)
Dr fr (71, 73) to (71, 74)
Dr fr (71, 74) to (71, 75)
Dr fr (71, 75) to (71, 76)
Dr fr (71, 76) to (71, 77)
Dr fr (71, 77) to (71, 78)
Dr fr (71, 78) to (71, 79)
Dr fr (71, 79) to (71, 80)
